system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,poly_id,.geo
1666,0.16261334544819042,0.10019463111678471,0.03903911849702785,0.0555916178890691,0.045247134251038386,0.2291396926987452,0.3799244307328833,0.6688078310448472,-0.6079096123286258,21666,"{""type"":""Polygon"",""coordinates"":[[[95.1118849,27.495057299999996],[95.11194490000001,27.495020299999997],[95.1119936,27.4949203],[95.1119927,27.4948752],[95.11195120000001,27.494821700000003],[95.11193750000001,27.494632399999997],[95.1119769,27.4945776],[95.1120273,27.494567800000006],[95.1120791,27.4946302],[95.112201,27.494655400000003],[95.1122521,27.4946817],[95.1122825,27.494681299999993],[95.1122922,27.4946631],[95.11235290000002,27.494662200000004],[95.1123744,27.494724999999992],[95.1123044,27.4947712],[95.1123051,27.4948073],[95.1123365,27.494861000000004],[95.11233820000002,27.4949512],[95.1122595,27.495069700000002],[95.1122297,27.4950972],[95.112169,27.4950981],[95.1120673,27.4950726],[95.11199769999999,27.495136800000004],[95.1119269,27.495137900000003],[95.1119171,27.4951561],[95.1118849,27.495057299999996]]]}"
1667,0.24606760917953058,0.16538803350034362,0.055480877514243736,0.07481808643035343,0.09179428766533362,0.207509911398111,0.21556478363511722,0.3865860546751907,-0.4699477238597939,21667,"{""type"":""Polygon"",""coordinates"":[[[95.1168699,27.4932579],[95.116875,27.4929961],[95.1168726,27.492869799999998],[95.117146,27.4928837],[95.1171531,27.493253600000003],[95.1168699,27.4932579]]]}"
1668,0.17063457263043527,0.08642087496445419,0.034862610691813956,0.053860175158731885,0.036589288619203075,0.2915634431045717,0.5095917817420832,0.7763238267497268,-0.687429371480237,21668,"{""type"":""Polygon"",""coordinates"":[[[95.1179055,27.5024199],[95.1180464,27.502381700000004],[95.11802570000002,27.502354900000004],[95.11800540000002,27.502355200000004],[95.1180353,27.5023277],[95.1181159,27.5023084],[95.1181856,27.502253200000002],[95.1181649,27.502226500000003],[95.11820410000001,27.502162700000003],[95.1181933,27.5021268],[95.1182221,27.5020451],[95.1183233,27.5020436],[95.11840480000001,27.5020694],[95.1183948,27.5020786],[95.1184564,27.5021228],[95.1185274,27.5021307],[95.1186198,27.5022015],[95.11872310000001,27.502308200000005],[95.1187341,27.5023532],[95.11876510000002,27.5023888],[95.118815,27.502351900000004],[95.1188642,27.502279000000005],[95.11899490000002,27.502231900000005],[95.1190859,27.502230499999996],[95.1190966,27.502257399999994],[95.1191166,27.502248099999996],[95.11911710000001,27.502275100000002],[95.11915780000001,27.502283500000004],[95.1191581,27.5023016],[95.1192499,27.5023363],[95.1192816,27.502408000000003],[95.1193018,27.502407699999996],[95.11933480000002,27.5025426],[95.119295,27.502579300000004],[95.1192957,27.5026153],[95.1191743,27.5026172],[95.11884970000001,27.502577000000002],[95.1184242,27.5025564],[95.1179881,27.5025089],[95.11794730000001,27.502491500000005],[95.1179775,27.502482000000004],[95.11790580000002,27.502438],[95.1179055,27.5024199]]]}"
1669,0.19278736678134997,0.10505823653420171,0.037480167201218405,0.05808186028434069,0.04335743016286677,0.2690299704926011,0.4515526392700124,0.7220773223973537,-0.6439350754537287,21669,"{""type"":""Polygon"",""coordinates"":[[[95.1154543,27.492259700000005],[95.11600060000002,27.492251400000004],[95.1159769,27.492603700000004],[95.11594570000001,27.492558999999996],[95.1158751,27.492569099999997],[95.1157732,27.4925346],[95.11548040000001,27.492566100000005],[95.1154543,27.492259700000005]]]}"
1670,0.1869706691628191,0.10525151451804497,0.041640107664981246,0.06089275191287592,0.04650450986203159,0.27163972283576754,0.45447697831376815,0.7076583020518807,-0.6337379266551124,21670,"{""type"":""Polygon"",""coordinates"":[[[95.11534410000002,27.497612799999995],[95.1153784,27.497287399999998],[95.1156824,27.4973099],[95.1156481,27.4976353],[95.11534410000002,27.497612799999995]]]}"
1671,0.25786112932334276,0.17388485275257975,0.05559437409703291,0.07252647074401605,0.09138873666682444,0.19779128209981878,0.20015506468244693,0.3678140821546705,-0.4632998690754944,21671,"{""type"":""Polygon"",""coordinates"":[[[95.1174562,27.494810199999996],[95.11746319999999,27.4946476],[95.11749140000002,27.494538900000006],[95.1175049,27.4941868],[95.11753100000001,27.4939608],[95.11782439999999,27.493956299999997],[95.1178187,27.494190999999997],[95.1178192,27.494218100000005],[95.11779580000001,27.4945794],[95.1178003,27.494814],[95.1174562,27.494810199999996]]]}"
1672,0.19583145789072778,0.11297245408152908,0.04169028028971018,0.06572039576572568,0.05071331089407067,0.2534581220106383,0.4068708692317855,0.6651783752951068,-0.5869118025013506,21672,"{""type"":""Polygon"",""coordinates"":[[[95.1182685,27.4991837],[95.1182786,27.4986511],[95.1185925,27.498664299999998],[95.11862340000002,27.498691000000004],[95.11882630000001,27.4987149],[95.11885240000001,27.499021400000004],[95.1188442,27.499120800000004],[95.118976,27.499136800000002],[95.1189579,27.4992454],[95.1183397,27.499200599999998],[95.1182685,27.4991837]]]}"
1673,0.17872534458654646,0.09314045446197482,0.03659714779279528,0.05444687340707676,0.03853011246362742,0.2736647018855506,0.47718441440458614,0.7529855544584704,-0.6677280414046382,21673,"{""type"":""Polygon"",""coordinates"":[[[95.12029970000002,27.5000822],[95.1204307,27.500053199999996],[95.1204797,27.499971200000005],[95.12053940000001,27.499916100000004],[95.1206405,27.4999146],[95.1206723,27.499986300000003],[95.1208071,27.5001557],[95.1208078,27.500191799999996],[95.1207181,27.5002654],[95.1207087,27.5003016],[95.12059740000001,27.500303300000002],[95.12056620000001,27.5002587],[95.12052570000002,27.500259300000007],[95.1205146,27.5002053],[95.1204837,27.500178700000003],[95.1203007,27.500136400000002],[95.12029970000002,27.5000822]]]}"
1674,0.19437929328174947,0.12802089258418012,0.06036242453325169,0.07938295875483918,0.08662386606759757,0.21513742700681057,0.2506746847475838,0.4257793210591401,-0.4614437058487387,21674,"{""type"":""Polygon"",""coordinates"":[[[95.12173730000002,27.4958911],[95.12190310000001,27.495563600000004],[95.1220259,27.4951106],[95.12230010000002,27.495160500000004],[95.1224116,27.4951678],[95.122376,27.49542110000001],[95.12231870000001,27.4956024],[95.1221519,27.495875700000003],[95.1221118,27.495894400000005],[95.122,27.495869],[95.12197,27.4958875],[95.1219505,27.495923899999998],[95.12188990000001,27.495933800000007],[95.12177760000002,27.495881400000005],[95.12173730000002,27.4958911]]]}"
1675,0.2227433628796994,0.14768840360815996,0.059429002091758415,0.08011404463501128,0.09742555693127548,0.2129944768172126,0.2137832998520083,0.3723549215029505,-0.45338813693452645,21675,"{""type"":""Polygon"",""coordinates"":[[[95.1182485,27.493381300000003],[95.1182649,27.4931825],[95.1182608,27.492966000000003],[95.11861500000002,27.492969600000002],[95.1186091,27.4931863],[95.11858230000001,27.4933762],[95.1182485,27.493381300000003]]]}"
1676,0.17562303726392559,0.09448599657106507,0.0371150227581673,0.055446048674589986,0.03994176778946991,0.2779326038790355,0.47946719240398444,0.7479778938108528,-0.666539198693812,21676,"{""type"":""Polygon"",""coordinates"":[[[95.1199218,27.5004309],[95.11993750000002,27.500195999999995],[95.1199936,27.4999515],[95.1199992,27.499716800000005],[95.12036409999999,27.499747399999997],[95.1209024,27.499847400000004],[95.12087910000001,27.5002178],[95.1208135,27.500489500000004],[95.1206415,27.5004921],[95.1203068,27.500452100000004],[95.1199218,27.5004309]]]}"
