poly_id,tea_probability,tea_fraction,n_pixels
237,0.012727782,0.0,16
238,0.020356387,0.0,36
239,0.0094750095,0.0,33
240,0.011544545,0.0,18
241,0.010207076,0.0,17
242,0.011346144,0.0,597
243,0.008153373,0.0,11
244,0.021481445,0.0,88
245,0.034645658,0.0,18
246,0.022133116,0.0,19
247,0.019599864,0.0,15
248,0.008237725,0.0,237
249,0.021452878,0.0,20
250,0.008604965,0.0,15
251,0.008863477,0.0,116
252,0.029343659,0.0,24
253,0.00876708,0.0,54
254,0.010257098,0.0,107
255,0.021615103,0.0,14
256,0.015989082,0.0,27
257,0.025855457,0.0,29
258,0.009268684,0.0,118
259,0.020908251,0.0,94
260,0.020484451,0.0,13
261,0.008817141,0.0,121
262,0.009809228,0.0,151
263,0.02127463,0.0,156
264,0.011925315,0.0,15
265,0.021746205,0.0,13
266,0.014061015,0.0,11
267,0.008653225,0.0,10
268,0.008365728,0.0,16
269,0.010012528,0.0,57
270,0.008509015,0.0,191
271,0.021984857,0.0,21
272,0.011316771,0.0,14
273,0.019643594,0.0,26
274,0.016139708,0.0,16
275,0.008964287,0.0,119
276,0.011507857,0.0,1194
277,0.0124754505,0.0,13
278,0.019993983,0.0,41
279,0.009916719,0.0,12
280,0.011952261,0.0,78
281,0.008242286,0.0,24
282,0.021917142,0.0,19
283,0.0088719195,0.0,199
284,0.009894226,0.0,17
285,0.012808291,0.0,15
286,0.021378623,0.0,107
287,0.011839271,0.0,160
288,0.020174844,0.0,59
289,0.021901578,0.0,14
290,0.02157233,0.0,37
291,0.008098552,0.0,118
292,0.011517827,0.0,14
293,0.021465011,0.0,32
294,0.02208738,0.0,45
295,0.02203658,0.0,16
296,0.022084124,0.0,25
297,0.02053146,0.0,21
298,0.010260655,0.0,156
299,0.019373422,0.0,16
300,0.018613614,0.0,11
301,0.015622149,0.0,39
302,0.021114342,0.0,18
303,0.008305872,0.0,18
304,0.012368562,0.0,16
305,0.026065534,0.0,22
306,0.008679652,0.0,257
307,0.021613767,0.0,34
308,0.021824293,0.0,21
309,0.0080305245,0.0,236
310,0.009393257,0.0,142
311,0.013753913,0.0,335
312,0.0125857545,0.0,16
313,0.018428255,0.0,14
314,0.010839666,0.0,18
315,0.020736622,0.0,81
316,0.011088239,0.0,21
317,0.01627486,0.0,16
318,0.011605685,0.0,27
319,0.014902652,0.0,44
320,0.020549152,0.0,24
321,0.011112342,0.0,18
322,0.021336546,0.0,13
323,0.008709309,0.0,25
324,0.010689175,0.0,16
325,0.010709224,0.0,20
326,0.013296582,0.0,16
327,0.011008752,0.0,24
328,0.012038519,0.0,16
329,0.010517719,0.0,37
330,0.01083096,0.0,12
331,0.012094326,0.0,14
332,0.020873541,0.0,41
333,0.019463865,0.0,14
334,0.016130982,0.0,48
335,0.017297447,0.0,19
336,0.016716534,0.0,38
337,0.011137292,0.0,32
338,0.012724825,0.0,44
339,0.010144725,0.0,66
340,0.013508808,0.0,19
341,0.021687744,0.0,49
342,0.011242739,0.0,63
343,0.009414095,0.0,61
344,0.020528844,0.0,48
345,0.012761573,0.0,21
346,0.01867159,0.0,100
347,0.010405357,0.0,37
348,0.015285163,0.0,156
349,0.015097103,0.0,32
350,0.00985154,0.0,27
351,0.015464127,0.0,10
352,0.010929288,0.0,19
353,0.017551707,0.0,14
354,0.013418616,0.0,16
355,0.020972477,0.0,26
356,0.009246539,0.0,33
357,0.014914691,0.0,20
358,0.016852776,0.0,12
359,0.008965144,0.0,18
360,0.015158017,0.0,17
361,0.01851951,0.0,25
362,0.011524962,0.0,16
363,0.0110566635,0.0,67
364,0.018355556,0.0,36
365,0.0101005435,0.0,47
366,0.014671999,0.0,44
367,0.012858756,0.0,102
368,0.010871018,0.0,13
369,0.010442003,0.0,17
370,0.014502955,0.0,10
371,0.020724976,0.0,14
372,0.009154706,0.0,18
373,0.014637457,0.0,27
374,0.010096921,0.0,37
375,0.010423008,0.0,27
376,0.012274688,0.0,13
377,0.0114626475,0.0,12
378,0.0099354675,0.0,44
379,0.012568526,0.0,28
380,0.009917137,0.0,72
381,0.015802935,0.0,19
382,0.011996511,0.0,43
383,0.021819906,0.0,71
384,0.01896902,0.0,38
385,0.017537752,0.0,17
386,0.010730238,0.0,48
387,0.019814968,0.0,16
388,0.01907684,0.0,16
389,0.016760036,0.0,24
390,0.017529426,0.0,17
391,0.012898496,0.0,90
392,0.011224175,0.0,37
393,0.011350625,0.0,22
394,0.013290277,0.0,11
395,0.010758321,0.0,42
396,0.014088337,0.0,17
397,0.011263234,0.0,107
398,0.018776922,0.0,18
399,0.0137783885,0.0,14
400,0.012529659,0.0,20
401,0.009417148,0.0,73
402,0.016540976,0.0,32
403,0.01775638,0.0,14
404,0.010110108,0.0,20
405,0.021281457,0.0,38
406,0.017437141,0.0,12
407,0.017750163,0.0,15
408,0.016186219,0.0,19
409,0.021346895,0.0,13
410,0.013115695,0.0,44
411,0.014216336,0.0,12
412,0.014024524,0.0,15
413,0.022155486,0.0,33
414,0.010013398,0.0,36
415,0.017645147,0.0,26
416,0.009300567,0.0,32
417,0.01600771,0.0,19
418,0.021516519,0.0,177
419,0.011182114,0.0,16
420,0.015080561,0.0,14
421,0.016081983,0.0,19
422,0.020620713,0.0,40
423,0.014976129,0.0,24
424,0.02065757,0.0,41
425,0.010545758,0.0,49
426,0.012725195,0.0,14
427,0.013629491,0.0,13
428,0.009692261,0.0,21
429,0.009346751,0.0,92
430,0.011519982,0.0,14
431,0.010992079,0.0,17
432,0.015337567,0.0,110
433,0.013329646,0.0,29
434,0.008346099,0.0,44
435,0.019411257,0.0,11
436,0.009268972,0.0,33
437,0.010676555,0.0,23
438,0.017039312,0.0,24
