system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,poly_id,tea,.geo
10,0.1813032202458541,0.09884463269819453,0.04090420719028181,0.06089035402163594,0.0442893672838282,0.2722591669127901,0.4618402192560375,0.7187967819267886,-0.6327875655019709,10,1,"{""type"":""Polygon"",""coordinates"":[[[95.03129050683522,27.388445158915214],[95.03651546212173,27.395076832932702],[95.0346314638213,27.39633283179965],[95.03324986506766,27.39517731284206],[95.03242090581548,27.395478752570128],[95.03184314633667,27.39628259184497],[95.03149146665393,27.397739550530638],[95.03214458606475,27.399648668808396],[95.03071274735642,27.4004273881059],[95.0290297088747,27.400326908196547],[95.02877850910131,27.398995549397586],[95.02820074962253,27.399950108536462],[95.02777371000776,27.40022642828719],[95.02742203032501,27.401331707290105],[95.02691963077825,27.402009946678255],[95.0263167513221,27.401808986859546],[95.02654283111815,27.400954907630023],[95.02516123236451,27.400628347924616],[95.02543755211524,27.398493149850804],[95.02556315200194,27.395704832366178],[95.02511099240982,27.394976353023345],[95.02543755211524,27.388847078552637],[95.02272459456263,27.387138920093584],[95.02357867379214,27.385631721453247],[95.02724619048364,27.386586280592127],[95.03129050683522,27.388445158915214]]]}"
11,0.1997275232230369,0.10371953856976776,0.044982667867203945,0.06872504789185516,0.04809239201642499,0.30781575291529684,0.5150400120425012,0.7288311000064964,-0.6338726243589731,11,1,"{""type"":""Polygon"",""coordinates"":[[[95.24469632681631,27.371523523193638],[95.24610404249422,27.370510529093416],[95.2478267487067,27.369675815773967],[95.24988689221854,27.369942213641878],[95.25173391743604,27.370510529093416],[95.25162735828886,27.371576120565052],[95.25223119345613,27.373192267630365],[95.25317246592273,27.373103468341064],[95.25329678492777,27.373636264076875],[95.25340334407494,27.374346658391303],[95.25379406094785,27.37503929284787],[95.25362340789225,27.375803373197027],[95.25218467062159,27.376163057514695],[95.25222698642368,27.3766496892386],[95.25379267110058,27.377538321082245],[95.25351761838708,27.380267690316312],[95.25307330246525,27.380140742910076],[95.25254435493926,27.381452532774503],[95.2527770918507,27.381854532894256],[95.2528405655538,27.382510427826467],[95.25254435493926,27.38282779634206],[95.25233277592886,27.38267969103478],[95.25201540741327,27.38301821745141],[95.25163456519456,27.383145164857652],[95.25150761778835,27.382848954243098],[95.25099982816339,27.382510427826467],[95.24996309101246,27.382658533133743],[95.24989961730935,27.383102849055568],[95.2500265647156,27.38352600707635],[95.24985730150726,27.38352600707635],[95.24975151200208,27.38407611250337],[95.24896866966363,27.383504849175313],[95.24790708783094,27.38232335569739],[95.24519029004934,27.38387260401914],[95.24325934286573,27.382390714320074],[95.24179990604088,27.379696369412695],[95.2438655704699,27.37646315552384],[95.24469632681631,27.371523523193638]]]}"
12,0.19035793624260733,0.09863917370293299,0.04430487009246339,0.06528373685888919,0.04599266588085512,0.2934874414192115,0.498645582143067,0.7241345516547993,-0.6317293862418601,12,1,"{""type"":""Polygon"",""coordinates"":[[[95.24773092233684,27.386693649623286],[95.25418667992085,27.388656438398023],[95.25411111522133,27.39208203810851],[95.25181898600329,27.39213241457484],[95.25161748013797,27.395079437855184],[95.25390960935601,27.39528094372051],[95.25372925387488,27.399117584735958],[95.25135504567336,27.39900284604964],[95.2508007330286,27.39687530200043],[95.24929303105073,27.395697862203885],[95.24870203342806,27.394811365769886],[95.24817013556766,27.39479659082932],[95.24645999318936,27.392903871593848],[95.24626742816703,27.391892905226545],[95.24577638736007,27.391671455450854],[95.24773092233684,27.386693649623286]]]}"
13,0.19955252639904397,0.10520805804641216,0.04446948984809595,0.06593156846812757,0.04810175936846894,0.29564654035134547,0.4941448320397483,0.7193223869711277,-0.6340889597657774,13,1,"{""type"":""Polygon"",""coordinates"":[[[95.2593376428127,27.39089824566393],[95.2854778419424,27.385121012022708],[95.28693998132073,27.38740337593035],[95.28868741618751,27.391183541152383],[95.28925800716442,27.392289061170146],[95.28843778263511,27.394856720566242],[95.28893704973993,27.395997902520065],[95.288366458763,27.396318859944575],[95.2865477000241,27.39589091671189],[95.2837304070756,27.396140550264295],[95.28308849222658,27.391754132129297],[95.28151936704008,27.390826921791817],[95.27980759410934,27.39132618889661],[95.2790230315161,27.393751200548483],[95.27841677860313,27.39389384829271],[95.27759655407382,27.39343024312397],[95.27617007663154,27.392788328274943],[95.27541431251903,27.393048116017447],[95.27495828455474,27.392934109026367],[95.2745402589208,27.393029114852272],[95.27419823794756,27.392858104365654],[95.27264014240285,27.394017175441597],[95.27233612375998,27.393010113687083],[95.27165208181351,27.393637152138005],[95.2714810713269,27.39443520107554],[95.27119605384921,27.394815224379126],[95.27165208181351,27.39536625816933],[95.2715760771528,27.395575270986303],[95.26663577420618,27.39658233274081],[95.2643111841041,27.39535700907533],[95.26374925616662,27.395816768296896],[95.26684592484327,27.398732790194405],[95.2662542983153,27.399247248044826],[95.25804869560116,27.399144356474736],[95.25375297255019,27.399144356474736],[95.25393303279783,27.396623513007697],[95.25529634610143,27.39652062143761],[95.25570791238177,27.39533736838166],[95.2540102014754,27.395002970778883],[95.25427582806894,27.388641646029246],[95.2586576917708,27.39127738350347],[95.2593376428127,27.39089824566393]]]}"
14,0.18667500214230437,0.0967361455177771,0.04432931986444649,0.0674978719926129,0.04605198381539764,0.30008079434422635,0.509576686778239,0.7319153197780035,-0.6311159418103978,14,1,"{""type"":""Polygon"",""coordinates"":[[[95.24150808653154,27.384999099027976],[95.24226993241986,27.384381741152943],[95.24551434508228,27.38544569834183],[95.24513342213811,27.387113878131817],[95.24588213275251,27.387284636692993],[95.24547493926048,27.388190970594643],[95.24479190501575,27.387941400389842],[95.24441098207159,27.38895281648298],[95.24640754371,27.389570174358017],[95.246197379327,27.390515914081476],[95.24582959165677,27.391711224009732],[95.2451990985078,27.391501059626744],[95.24493639302905,27.39026634387668],[95.24169198036665,27.38934687470109],[95.24100894612192,27.389005357578736],[95.24090386393043,27.388676975730306],[95.24010261222028,27.38832232333401],[95.24027337078147,27.38782318292441],[95.23966914818035,27.386641008270082],[95.24150808653154,27.384999099027976]]]}"
15,0.1829203186232857,0.10113444765062296,0.04393018452391912,0.06404852759631349,0.04827206149858051,0.2744558100701952,0.4572810471327807,0.7004492153890739,-0.6203206927865859,15,1,"{""type"":""Polygon"",""coordinates"":[[[95.22703187637268,27.388170376110132],[95.22965903419129,27.386061793006736],[95.23499787040068,27.388354830416503],[95.2422675686984,27.395013813004915],[95.24240954264421,27.399128789660548],[95.23477309205455,27.399048074795946],[95.23066097719777,27.398913251358017],[95.2300273070395,27.39658080588186],[95.22959587203813,27.396850452757715],[95.22860669614948,27.39481414704353],[95.22954174539197,27.394092354645817],[95.22801613873318,27.393600223465576],[95.228278608696,27.392944048558565],[95.22765524253434,27.392091021179468],[95.2285246742861,27.391549676881187],[95.22822939557796,27.39138563315444],[95.2286723136402,27.39066384075674],[95.22742558131688,27.389351490942733],[95.22703187637268,27.388170376110132]]]}"
16,0.18395959747858365,0.09602413666772597,0.04096292812116916,0.06206429693668921,0.043632135474207225,0.3129993901693284,0.5302899249604356,0.7530995237451665,-0.6671270644502115,16,1,"{""type"":""Polygon"",""coordinates"":[[[95.2176593483873,27.43518109984215],[95.21847848172557,27.43509599507973],[95.21897847220475,27.437064042710624],[95.22061673888128,27.43740446176029],[95.22182948174571,27.438415080813986],[95.22281882460882,27.438627842720027],[95.22334009127863,27.44000015701401],[95.22248904365445,27.44057461416032],[95.22146778650544,27.441319280831465],[95.22012738649738,27.44259585226772],[95.21952101506518,27.43987249987038],[95.21857422458328,27.440063985585816],[95.2176593483873,27.43518109984215]]]}"
17,0.18985257016920068,0.09956134970385298,0.0415798729135479,0.06042690202214834,0.044097415808997474,0.28692091283631305,0.48915752673611623,0.7322658973997309,-0.6501277048583026,17,1,"{""type"":""Polygon"",""coordinates"":[[[95.32463769840983,27.45512301295134],[95.31994768863,27.451834615289627],[95.31525767885016,27.446982881034625],[95.30857306720995,27.440567810186355],[95.31002858748644,27.437171596207858],[95.31072939354551,27.43544653513942],[95.31083720986227,27.433451933279027],[95.30997467932806,27.430972157993146],[95.30598547560729,27.43329020880386],[95.30431432269724,27.431672964052197],[95.303451792163,27.430325260092474],[95.30415259822206,27.428815831657584],[95.30334397584623,27.427090770589146],[95.30354665880458,27.42664428105043],[95.30351136813854,27.425903177063653],[95.3037584028008,27.424879747748587],[95.30499357611208,27.42438567842407],[95.30788741072709,27.424138643761818],[95.30866380537992,27.42452684108822],[95.30866380537992,27.425091491744812],[95.30929903736858,27.425373817073105],[95.30965194402893,27.42615021172591],[95.31102828000436,27.426361955722133],[95.31131060533265,27.42720893170701],[95.31226345331567,27.427138350374943],[95.31325159196467,27.428302942354154],[95.31466321860614,27.428691139680556],[95.3160395545816,27.430314510318247],[95.31783937854945,27.43130264896727],[95.31918042385885,27.43243195028045],[95.31995681851167,27.435219912897352],[95.32158018914934,27.435890435552047],[95.32270949046253,27.435502238225645],[95.32292123445875,27.435925726218084],[95.32482693042472,27.43793729418218],[95.3235564664474,27.438431363506695],[95.3242269891021,27.4398782808142],[95.3233447224512,27.44118403545756],[95.32454460509643,27.44192513944433],[95.32433286110022,27.443019150091473],[95.3235564664474,27.444854264725382],[95.32263890913045,27.445066008721604],[95.32403354777631,27.445452743264948],[95.32432048190984,27.451095781224403],[95.32565950786632,27.454443346115607],[95.32463769840983,27.45512301295134]]]}"
18,0.19715703529345732,0.10805043696722606,0.0454294500235147,0.06445095700928118,0.050205493294113855,0.2749403424788301,0.4544023060307699,0.6899564535429228,-0.6187898297549026,18,1,"{""type"":""Polygon"",""coordinates"":[[[95.42553879868251,27.46557328169009],[95.4254543564443,27.445771576835753],[95.42942314163899,27.443744963119318],[95.43567186726467,27.44378718423841],[95.43567186726467,27.451809196865966],[95.43415190697735,27.452104744699614],[95.43406746473917,27.4532869360342],[95.43562964614559,27.4532869360342],[95.43596741509833,27.460126757327163],[95.43170308206999,27.46033786292263],[95.43149197647453,27.462364476639067],[95.4327586100473,27.462280034400873],[95.4328008311664,27.464433311474597],[95.43170308206999,27.464686638189143],[95.43187196654635,27.465953271761922],[95.42908537268627,27.465826608404637],[95.42752319127985,27.464982186022795],[95.42553879868251,27.46557328169009]]]}"
19,0.1872832462087748,0.09976684590844932,0.04345676544446507,0.061606180920288404,0.046404232051657585,0.27045997523798604,0.45768518064767616,0.7067615234686145,-0.6279416207274375,19,1,"{""type"":""Polygon"",""coordinates"":[[[95.46146990514768,27.459835391338835],[95.45943560739998,27.45799669914381],[95.4584967007472,27.4583487891386],[95.45654064522058,27.45431931475375],[95.4538021674833,27.455297342517067],[95.45153314307241,27.455688553622387],[95.45082896308284,27.4535368925431],[95.44985093531952,27.453615134764163],[95.44977269309845,27.452245895895523],[95.4499291775406,27.444734642673286],[95.46107869404237,27.441096379393755],[95.46124363208078,27.436552703318892],[95.46318903632859,27.436066352256944],[95.46430069589876,27.436274788426346],[95.46492600440698,27.442597352231722],[95.46471756823757,27.445793373495974],[95.46944212141084,27.45593726707382],[95.46572843535806,27.457279594121086],[95.46232976604037,27.449770077019135],[95.46157106275606,27.44992980402636],[95.46213010728135,27.45140727884318],[95.46093215472716,27.45176666460943],[95.4597741339248,27.44992980402636],[95.45865604487423,27.451087824828736],[95.46013351969104,27.454162569717774],[95.461171745238,27.45536052227195],[95.46240962954398,27.455280658768338],[95.46444614888607,27.457317178110436],[95.46146990514768,27.459835391338835]]]}"
